"","STOCKJOIN","FISHERYYEAR","RECRUITMENT","SPAWNBIOMASS","TOTALBIOMASS","TOTFSHRYMORT","TOTALCATCH"
"1","AKSKATEBSAI2015",1951,22907.6,177040,599719,0,0
"2","AKSKATEBSAI2015",1952,22723.1,177040,599228,0,0
"3","AKSKATEBSAI2015",1953,22519.2,177040,598295,0,0
"4","AKSKATEBSAI2015",1954,22294.8,177040,596689,0,0
"5","AKSKATEBSAI2015",1955,22049.4,177040,594185,0,0
"6","AKSKATEBSAI2015",1956,21783.1,177040,590644,0,0
"7","AKSKATEBSAI2015",1957,21496.9,177040,586061,0,0
"8","AKSKATEBSAI2015",1958,21193.4,177040,580566,0,69
"9","AKSKATEBSAI2015",1959,20875.1,176315,574298,0,177
"10","AKSKATEBSAI2015",1960,20546.4,175106,567447,0,0
"11","AKSKATEBSAI2015",1961,20210.9,173532,560494,0,0
"12","AKSKATEBSAI2015",1962,19872.4,171650,553399,0,0
"13","AKSKATEBSAI2015",1963,19534.3,169589,546247,0,0
"14","AKSKATEBSAI2015",1964,19200.5,167450,539081,0.001,347
"15","AKSKATEBSAI2015",1965,18875.9,165186,531569,0.003,1078
"16","AKSKATEBSAI2015",1966,18570.7,162712,523335,0.003,1054
"17","AKSKATEBSAI2015",1967,18297.3,160261,515150,0.006,2504
"18","AKSKATEBSAI2015",1968,18057.2,157380,505556,0.027,10791
"19","AKSKATEBSAI2015",1969,17842.1,152010,487762,0.013,5055
"20","AKSKATEBSAI2015",1970,17625.4,148364,476008,0.02,7722
"21","AKSKATEBSAI2015",1971,17402,143912,461895,0.018,6469
"22","AKSKATEBSAI2015",1972,17200.6,139857,449455,0.017,6293
"23","AKSKATEBSAI2015",1973,17057.4,135876,437693,0.078,26326
"24","AKSKATEBSAI2015",1974,17012,125972,406425,0.091,28694
"25","AKSKATEBSAI2015",1975,17097.9,115450,373784,0.09,26084
"26","AKSKATEBSAI2015",1976,17419,105856,344992,0.046,12599
"27","AKSKATEBSAI2015",1977,18175.5,100452,331084,0.068,17649
"28","AKSKATEBSAI2015",1978,19721.8,93813,313533,0.122,29435
"29","AKSKATEBSAI2015",1979,22649.1,84118,285771,0.084,18816
"30","AKSKATEBSAI2015",1980,27975.9,77839,270539,0.078,16888
"31","AKSKATEBSAI2015",1981,37856.5,72455,259725,0.081,17056
"32","AKSKATEBSAI2015",1982,64017.9,67542,252056,0.042,8786
"33","AKSKATEBSAI2015",1983,50211.9,65359,258049,0.035,7427
"34","AKSKATEBSAI2015",1984,35448.3,64090,270782,0.018,4067
"35","AKSKATEBSAI2015",1985,28554.7,64267,293091,0.022,5488
"36","AKSKATEBSAI2015",1986,25203,64888,320813,0.018,4976
"37","AKSKATEBSAI2015",1987,23926.7,66565,354884,0.013,4068
"38","AKSKATEBSAI2015",1988,23951.8,69670,393288,0.016,5730
"39","AKSKATEBSAI2015",1989,25117,74331,429968,0.006,2340
"40","AKSKATEBSAI2015",1990,27520.3,82579,466430,0.006,2697
"41","AKSKATEBSAI2015",1991,28345.2,97584,496578,0.017,7618
"42","AKSKATEBSAI2015",1992,24307.8,113027,514895,0.032,15287
"43","AKSKATEBSAI2015",1993,24454.5,125004,518815,0.023,11018
"44","AKSKATEBSAI2015",1994,30256.7,134878,521676,0.027,12818
"45","AKSKATEBSAI2015",1995,34629.5,140516,519615,0.029,13422
"46","AKSKATEBSAI2015",1996,29119.5,142574,515525,0.025,11394
"47","AKSKATEBSAI2015",1997,32429.8,142789,512821,0.035,15991
"48","AKSKATEBSAI2015",1998,35271.2,140324,506335,0.039,17278
"49","AKSKATEBSAI2015",1999,36077.1,137228,500206,0.028,12606
"50","AKSKATEBSAI2015",2000,40151.4,135696,500751,0.037,16417
"51","AKSKATEBSAI2015",2001,32360.2,132706,500191,0.04,17535
