"","STOCKJOIN","SERIESNAME","SERIESYEAR","SERIESAMT","AMT_MULTIPLIER","AMT_VARIANCE"
"1","YFINBSAI2015","EBS_trawl_biomass_mtons",1982,3509130,1,NA
"2","YFINBSAI2015","EBS_trawl_biomass_mtons",1983,3672420,1,NA
"3","YFINBSAI2015","EBS_trawl_biomass_mtons",1984,3341320,1,NA
"4","YFINBSAI2015","EBS_trawl_biomass_mtons",1985,2398080,1,NA
"5","YFINBSAI2015","EBS_trawl_biomass_mtons",1986,2031600,1,NA
"6","YFINBSAI2015","EBS_trawl_biomass_mtons",1987,2511840,1,NA
"7","YFINBSAI2015","EBS_trawl_biomass_mtons",1988,2180750,1,NA
"8","YFINBSAI2015","EBS_trawl_biomass_mtons",1989,2313620,1,NA
"9","YFINBSAI2015","EBS_trawl_biomass_mtons",1990,2179610,1,NA
"10","YFINBSAI2015","EBS_trawl_biomass_mtons",1991,2391860,1,NA
"11","YFINBSAI2015","EBS_trawl_biomass_mtons",1992,2201520,1,NA
"12","YFINBSAI2015","EBS_trawl_biomass_mtons",1993,2468430,1,NA
"13","YFINBSAI2015","EBS_trawl_biomass_mtons",1994,2597190,1,NA
"14","YFINBSAI2015","EBS_trawl_biomass_mtons",1995,2012400,1,NA
"15","YFINBSAI2015","EBS_trawl_biomass_mtons",1996,2216500,1,NA
"16","YFINBSAI2015","EBS_trawl_biomass_mtons",1997,2161400,1,NA
"17","YFINBSAI2015","EBS_trawl_biomass_mtons",1998,2210180,1,NA
"18","YFINBSAI2015","EBS_trawl_biomass_mtons",1999,1257180,1,NA
"19","YFINBSAI2015","EBS_trawl_biomass_mtons",2000,1589780,1,NA
"20","YFINBSAI2015","EBS_trawl_biomass_mtons",2001,1679520,1,NA
"21","YFINBSAI2015","EBS_trawl_biomass_mtons",2002,1910070,1,NA
"22","YFINBSAI2015","EBS_trawl_biomass_mtons",2003,2158130,1,NA
"23","YFINBSAI2015","EBS_trawl_biomass_mtons",2004,2542070,1,NA
"24","YFINBSAI2015","EBS_trawl_biomass_mtons",2005,2820840,1,NA
"25","YFINBSAI2015","EBS_trawl_biomass_mtons",2006,2132480,1,NA
"26","YFINBSAI2015","EBS_trawl_biomass_mtons",2007,2153090,1,NA
"27","YFINBSAI2015","EBS_trawl_biomass_mtons",2008,2099670,1,NA
"28","YFINBSAI2015","EBS_trawl_biomass_mtons",2009,1739430,1,NA
"29","YFINBSAI2015","EBS_trawl_biomass_mtons",2010,2368260,1,NA
"30","YFINBSAI2015","EBS_trawl_biomass_mtons",2011,2403220,1,NA
"31","YFINBSAI2015","EBS_trawl_biomass_mtons",2012,1951410,1,NA
"32","YFINBSAI2015","EBS_trawl_biomass_mtons",2013,2279020,1,NA
"33","YFINBSAI2015","EBS_trawl_biomass_mtons",2014,2512260,1,NA
"34","ATFBSAI2015","EBS_trawl_biomass_mtons",1982,69990,1,NA
"35","ATFBSAI2015","EBS_trawl_biomass_mtons",1983,110643,1,NA
"36","ATFBSAI2015","EBS_trawl_biomass_mtons",1984,160396,1,NA
"37","ATFBSAI2015","EBS_trawl_biomass_mtons",1985,163637,1,NA
"38","ATFBSAI2015","EBS_trawl_biomass_mtons",1986,229865,1,NA
"39","ATFBSAI2015","EBS_trawl_biomass_mtons",1987,294710,1,NA
"40","ATFBSAI2015","EBS_trawl_biomass_mtons",1988,310933,1,NA
"41","ATFBSAI2015","EBS_trawl_biomass_mtons",1989,374317,1,NA
"42","ATFBSAI2015","EBS_trawl_biomass_mtons",1990,435211,1,NA
"43","ATFBSAI2015","EBS_trawl_biomass_mtons",1991,336457,1,NA
"44","ATFBSAI2015","EBS_trawl_biomass_mtons",1992,421985,1,NA
"45","ATFBSAI2015","EBS_trawl_biomass_mtons",1993,542827,1,NA
"46","ATFBSAI2015","EBS_trawl_biomass_mtons",1994,570835,1,NA
"47","ATFBSAI2015","EBS_trawl_biomass_mtons",1995,475339,1,NA
"48","ATFBSAI2015","EBS_trawl_biomass_mtons",1996,552269,1,NA
"49","ATFBSAI2015","EBS_trawl_biomass_mtons",1997,482684,1,NA
"50","ATFBSAI2015","EBS_trawl_biomass_mtons",1998,369118,1,NA
"51","ATFBSAI2015","EBS_trawl_biomass_mtons",1999,258809,1,NA
"52","ATFBSAI2015","EBS_trawl_biomass_mtons",2000,336163,1,NA
"53","ATFBSAI2015","EBS_trawl_biomass_mtons",2001,409306,1,NA
"54","ATFBSAI2015","EBS_trawl_biomass_mtons",2002,356665,1,NA
"55","ATFBSAI2015","EBS_trawl_biomass_mtons",2003,543569,1,NA
"56","ATFBSAI2015","EBS_trawl_biomass_mtons",2004,549338,1,NA
"57","ATFBSAI2015","EBS_trawl_biomass_mtons",2005,772988,1,NA
"58","ATFBSAI2015","EBS_trawl_biomass_mtons",2006,670132,1,NA
"59","ATFBSAI2015","EBS_trawl_biomass_mtons",2007,547496,1,NA
"60","ATFBSAI2015","EBS_trawl_biomass_mtons",2008,588342,1,NA
"61","ATFBSAI2015","EBS_trawl_biomass_mtons",2009,456371,1,NA
"62","ATFBSAI2015","EBS_trawl_biomass_mtons",2010,586954,1,NA
"63","ATFBSAI2015","EBS_trawl_biomass_mtons",2011,568200,1,NA
"64","ATFBSAI2015","EBS_trawl_biomass_mtons",2012,445736,1,NA
"65","ATFBSAI2015","EBS_trawl_biomass_mtons",2013,405509,1,NA
"66","ATFBSAI2015","EBS_trawl_biomass_mtons",2014,465616,1,NA
"67","ATFBSAI2015","EBS_trawl_biomass_mtons",2015,409243,1,NA
"68","ATFBSAI2015","BS_slope_trawl_biomass_mtons",1979,36700,1,NA
"69","ATFBSAI2015","BS_slope_trawl_biomass_mtons",1981,34900,1,NA
"70","ATFBSAI2015","BS_slope_trawl_biomass_mtons",1982,24700,1,NA
"71","ATFBSAI2015","BS_slope_trawl_biomass_mtons",1985,74400,1,NA
"72","ATFBSAI2015","BS_slope_trawl_biomass_mtons",1988,30600,1,NA
"73","ATFBSAI2015","BS_slope_trawl_biomass_mtons",1991,28400,1,NA
"74","ATFBSAI2015","BS_slope_trawl_biomass_mtons",2002,61153,1,NA
"75","ATFBSAI2015","BS_slope_trawl_biomass_mtons",2004,68568,1,NA
"76","ATFBSAI2015","BS_slope_trawl_biomass_mtons",2008,96248,1,NA
"77","ATFBSAI2015","BS_slope_trawl_biomass_mtons",2010,74065,1,NA
"78","ATFBSAI2015","BS_slope_trawl_biomass_mtons",2012,73676,1,NA
"79","ATFBSAI2015","AI_trawl_biomass_mtons",1980,16500,1,NA
"80","ATFBSAI2015","AI_trawl_biomass_mtons",1983,24465,1,NA
"81","ATFBSAI2015","AI_trawl_biomass_mtons",1986,110476,1,NA
"82","ATFBSAI2015","AI_trawl_biomass_mtons",1991,21897,1,NA
"83","ATFBSAI2015","AI_trawl_biomass_mtons",1994,58191,1,NA
"84","ATFBSAI2015","AI_trawl_biomass_mtons",1997,73893,1,NA
"85","ATFBSAI2015","AI_trawl_biomass_mtons",2000,65028,1,NA
"86","ATFBSAI2015","AI_trawl_biomass_mtons",2002,88750,1,NA
"87","ATFBSAI2015","AI_trawl_biomass_mtons",2004,94998,1,NA
"88","ATFBSAI2015","AI_trawl_biomass_mtons",2006,183836,1,NA
"89","ATFBSAI2015","AI_trawl_biomass_mtons",2010,80060,1,NA
"90","ATFBSAI2015","AI_trawl_biomass_mtons",2012,60371,1,NA
"91","ATFBSAI2015","AI_trawl_biomass_mtons",2014,75958,1,NA
